名称,别名,封面,类别,地区,主演
V字仇杀队,V for Vendetta,https://p1.meituan.net/movie/06ec3c1c647942b1e40bca84036014e9490863.jpg@464w_644h_1e_1c,"['剧情', '动作', '科幻', '惊悚']","['美国', '英国', '德国']","['娜塔莉·波特曼', '雨果·维文', '斯蒂芬·瑞', '斯蒂芬·弗雷', '约翰·赫特', '蒂姆·皮戈特-史密斯', '拉珀特·格雷夫斯', '罗杰·阿拉姆', '本·迈尔斯', '西妮德·库萨克', '娜塔莎·怀特曼', '约翰·斯坦丁', '埃迪·马森', '克里夫·阿什伯恩', 'Emma Field-Rayner', '伊安·布尔费尔德', 'Mark Phoenix', 'Alister Mazzotti', '比莉·库克', '盖伊·亨利', '科斯马·肖', '梅根·盖伊', 'Roderic Culver', 'Tara Hacking', '安迪·莱什利兹', '查德·斯塔赫斯基', '安特耶·劳', 'Amelda Brown', '理查德·坎贝尔', '帕特里莎·加农', '马克·朗赫斯特', '西蒙·霍尔姆斯', '查尔斯·科克', '约翰·瑞汉姆', '奥利弗·布拉德肖', 'Jack Schouten', 'Caoimhe Murdock', '朱丽叶·霍兰德', '布林·罗瑟', '拉菲·帕特里克·伯切尔', '约瑟夫·雷耶', 'Adrian Finighan', '马尔科姆·辛克莱', '拉德利·史蒂夫·福特', '马德琳·拉基克-普拉特', '塞丽娜·贾尔斯', '卡斯腾·海斯', '德里克·哈金森', '马丁·萨维奇', '格兰特·布尔金', '格里高利·唐纳森', '伊莫琴·普茨', '杰森·格里菲斯', 'Kyra Meyer', '劳拉·格林伍德', '保罗·安东尼-巴博', 'Anna Farnworth', '玛丽·萧克莱', 'Simon Newby', 'David Merheb', '丹尼尔·唐纳森', 'Dulcie Smart', '本·波泽纳', '伊恩·T·迪金森', 'Sophia New', '朱莉·布朗', 'Gerard Gilroy', 'Eamon Geoghegan', '马修·贝茨', '大卫·雷奇', '马特·威尔金森', '马丁·麦克格雷德', '理查德·莱恩', 'Michael Simkins', '威廉·塔普利', 'Edsel Kragg', '托尼·库克', 'Gordon Gram', '乔纳斯·冯·林根', '若昂·科斯塔·梅内塞斯', 'Jason Oettle', '克里斯托弗·威尔森', '安迪·卡拉汉', '基斯·豪', 'David Decio', 'Nicolas de Pruyssenaere', '彼得·莱德', '沃尔夫冈·施特格曼', 'Norman Campbell Rees', '马迪斯·兰德维尔', '克里斯托弗·福什', 'David Hood', '罗根·格兰特', 'Forbes KB', '布拉德利·斯蒂夫·福特', 'Greg Donaldson']"
少年派的奇幻漂流,Life of Pi,https://p0.meituan.net/movie/34998e31c6d07475f1add6b8b16fd21d192579.jpg@464w_644h_1e_1c,"['剧情', '奇幻', '冒险']","['美国', '中国台湾', '英国', '加拿大']","['苏拉·沙玛', '伊尔凡·可汗', '塔布', '拉菲·斯波', '阿尤什·坦东', '加塔姆·贝鲁尔', '阿迪勒·侯赛因', '阿伊·可汗', '穆德·阿巴斯·卡勒里', '维比什·希瓦库玛', '热拉尔·德帕迪约', '詹姆斯·塞托', '俊·奈托', '安德里亚·迪·斯戴法诺', '沙拉万提·塞纳特', '埃利·阿鲁夫', '帕德米尼·拉姆康托', 'T·M·卡西克·司瑞尼瓦莎', '阿玛伦·瑞米南', '哈里·米那·巴拉', '王柏杰', '柯一正', '黄健玮', '拉维·纳塔森', '艾德亚特·巴拉吉', '基拉格·奥格沃', '阿罕·安德烈·卡玛斯', '欧姆·卡玛斯', '斯瑞莱克·卡塔', '沙瓦提·范·拉斯维克', 'M.吉尔萨那', '英多莫汗·普尔尼玛', '约瑟夫·尼西亚·B', '沙姆克莎·S', 'A·戴娃·桑德里', 'G·瓦萨塔库马里', 'A·韦斯亚', '马西里·普拉卡什', '拉杰·帕特尔', '哈迪西亚·哈米德', '伊斯沃尔·撒里库玛', '阿彦·汗', 'T.M. Karthik']"
美丽心灵,A Beautiful Mind,https://p0.meituan.net/movie/7b7d1f8aa36d7a15463ce6942708a1a7265296.jpg@464w_644h_1e_1c,"['剧情', '传记']",['美国'],"['罗素·克洛', '詹妮弗·康纳利', '艾德·哈里斯', '克里斯托弗·普卢默', '保罗·贝坦尼', '亚当·戈德堡', '乔什·卢卡斯', '朗·霍华德', '安东尼·拉普', '贾森·加里-斯坦福德', '贾德·赫希', '奥斯汀·潘德尔顿', '维克多·斯坦巴赫', 'Jesse Doran', '罗伊·辛尼斯', '谢丽尔·霍华德', '兰斯·霍华德', '简·詹金斯', '乔什·帕斯', '蒂格尔·F·伯格里', '迈克尔·埃斯佩尔', 'Eva Burkley', 'Dr. Isadore Rosenfeld', 'Tommy Allen', 'Tom McNutt', '小艾德.朱普', 'Lloyd Baskin', 'James Thomas Bligh', '丹·陈', '杰森·霍顿', '迈克尔·C·皮尔斯', '约翰托宾', 'Sean Bennett', '乔纳·福尔肯', '法布里奇奥·范特', 'Charles McClelland', '肖恩·里德', 'Jonathan Marc McDonnell', '罗伯特·迈尔斯', 'Charles Pendleton', 'Jeffrey Christopher Todd', 'Alex Tanaka', '埃文·哈特', 'Erik Van Wyck', 'Susan Quigley', '米尔斯·彼埃尔', 'Dave Sweeney', 'Ned Stuart', '斯科特·费恩斯特罗姆', 'Berly Ellis', '里德·彭尼', 'Gregory Gordon', '理查·布莱恩特', 'Sean Dillon', 'Scott Addison Clay', 'Michael Fiore', 'Douglas Taurel', 'Jennifer Weedon', 'Tracey Toomey', '艾米·瓦尔兹', 'David B. Allen', '瓦伦蒂娜·卡迪纳利', 'Alex Toma', 'Darius Stone', 'Anthony Easton', 'Patrick Blindauer', 'Kent Cassella', 'Thomas F. Walsh', '坦娅·克拉克', 'Betsy Klompus', 'Logan McCall', 'Bob Broder', '卡拉·奥奇格罗索', 'Matt Samson', 'Lyena Nomura', 'Kathleen Fellegara', 'Will Dunham', 'Glenn Roberts', 'Christopher Stockton', 'Gregory Dress', 'Yvonne Thomas', 'Holly Pitrago', 'Dave Bayer', 'Brian Keith Lewis', '凯德·比特纳', 'Jill M. Simon', '薇薇·卡登尼', '雷吉·奥斯汀', '斯特里奥·萨万特', '布莱丝·达拉斯·霍华德', '迈克尔·阿伯特', 'Vivian Kalinov', 'Phil Cirincione', '费丽娜·巴瑞丝', 'Todd Fredericks', 'Michael Arthur', 'John Blaylock', 'Mike Fitzgerald', 'Dory Manzour', 'Liche Ariza', 'Ty Copeman', 'Tiffany Marz', 'Ryan Tygh', '布瑞恩·斯米吉', 'Warner Wolf', 'Michael Tota', 'Deborah Baum', '吉莉·西蒙', '迈克尔·菲奥里', '塞斯·盖贝尔', 'Dory Manzour']"
初恋这件小事,สิ่งเล็กเล็กที่เรียกว่า...รัก,https://p1.meituan.net/movie/05bc2f0ccf97aacfa64fcac4f237cf8082385.jpg@464w_644h_1e_1c,"['喜剧', '爱情']",['泰国'],"['马里奥·毛瑞尔', '平采娜·乐维瑟派布恩', '阿查拉那·阿瑞亚卫考', '华森·波克彭', '普特鹏·普罗萨卡·那·萨克那卡林', 'Khachamach Promsaka Na Skolnakor', '皮拉瓦特·赫拉巴特', 'Pijittra Siriwetchapan', '雅尼卡·桑普蕾舞', '诺特·阿查拉那·阿瑞亚卫考', '苏达拉·布查蓬']"
借东西的小人阿莉埃蒂,借りぐらしのアリエッティ,https://p1.meituan.net/movie/640cc32445df972b066c9a04b194da141104515.jpg@464w_644h_1e_1c,"['动画', '奇幻', '冒险']",['日本'],"['志田未来', '神木隆之介', '大竹忍', '三浦友和', '竹下景子', '树木希林', '藤原龙也', '威尔·阿奈特', '卡罗尔·博内特', '凯瑞·柯克帕特里克', 'Dale Sison', '奥莉薇娅·柯尔曼', 'Ray Gillon', 'Gracle Poletti', '西尔莎·罗南', '菲丽达·劳', '汤姆·赫兰德', '皮特·杰森', '莫伊塞斯·阿里亚斯', '卢克·阿伦-盖尔', '艾米·波勒', '史蒂夫·阿尔珀特', '布丽奇·门德勒', '马克·斯特朗', '弗兰克·马歇尔', '羽鸟慎一', '杰拉尔丁·麦克伊万', '大卫·亨瑞']"
一一,Yi yi: A One and a Two,https://p0.meituan.net/movie/6cb23356f9d8e0b506349561c633310d102189.jpg@464w_644h_1e_1c,"['剧情', '爱情', '家庭']","['中国台湾', '日本']","['吴念真', '金燕玲', '李凯莉', '林孟瑾', '张洋洋', '陈以文', '柯宇纶', '唐如韫', '杨德昌', '萧淑慎', '尾形一成', '陈希圣', '张育邦', '徐淑媛', '曾心怡', '许安安', '柯素云', 'Kai-Li Peng', '唐从圣', '戴立忍', '陶传正', '孙法钧', '江惠惠', '李永丰', '津田健次郎', '宋少卿', '刘亮佐', '范瑞君', 'Chi-Tung Yu', '罗北安', '邓安宁', '杨淇', 'Kiyotaka Ueno', 'Christian Storms', 'Shi-hui Chin', 'Kuo-Chih Shu', 'Mei-Yun Yu', 'Antonio Lee', 'Yuen-Cheng Cheng', '苗子杰', '李键昌', '徐珪莹', 'Shih-Ping Yang', '杨谨华', 'Cheng-Wan Pieh', 'Shih-hue Tu', '毛训容']"
美丽人生,La vita è bella,https://p1.meituan.net/movie/580d81a2c78bf204f45323ddb4244b6c6821175.jpg@464w_644h_1e_1c,"['战争', '剧情', '爱情']",['意大利'],"['罗伯托·贝尼尼', '尼可莱塔·布拉斯基', '乔治·坎塔里尼', '朱斯蒂诺·杜拉诺', '赛尔乔·比尼·布斯特里克', '玛丽萨·帕雷德斯', '霍斯特·布赫霍尔茨', '利迪娅·阿方西', '朱利亚娜·洛约迪切', '亚美利哥·丰塔尼', '彼得·德·席尔瓦', '弗朗西斯·古佐', '拉法埃拉·莱博罗尼', '克劳迪奥·阿方西', '吉尔·巴罗尼', '马西莫·比安奇', '于尔根·博恩', '维蕾娜·布拉蒂', '罗伯特·卡梅罗', '恩尼奥·孔萨尔维', '吉安卡尔洛·科森蒂诺', '亚伦克·雷格', 'Alfiero Falomi', 'Daniela Fedtke', 'Antonio Fommei', 'Stefano Frangipani', 'Ernst Frowein Holger', 'Alessandra Grassi', 'Hannes Helmann', 'Wolfgang Hillinger', 'Margareta Lucia Krauss', 'Patrizia Lazzarini', 'Maria Letizia', 'Concetta Lombardo', 'Maria Rita Macellari', 'Carlotta Mangione', 'Francesca Messinese', '弗兰科·梅斯科利尼', 'Inger Lise Middelthon', 'Andrea Nardi', 'Günther Pfanzelter', 'Cristiana Porchiella', '安东尼奥·普雷斯特', '吉娜·诺维勒', 'Laura Rudeberg', 'Massimo Salvianti', '理查德·塞梅尔', 'James Schindler', '安德烈提多娜', '迪尔克·范登贝格', 'Giovanna Villa', ""Roberto Dell'Acqua"", 'Katia Crispino', '奥梅罗·安东努蒂', '阿伦·克雷格', '汉尼斯·赫尔曼', '李靖飞', 'Laura Susanne Ruedeberg', 'James Falzone', 'Daniela Fedke']"
海上钢琴师,La leggenda del pianista sull'oceano,https://p0.meituan.net/movie/609e45bd40346eb8b927381be8fb27a61760914.jpg@464w_644h_1e_1c,"['剧情', '爱情', '音乐']",['意大利'],"['蒂姆·罗斯', '比尔·努恩', '克兰伦斯·威廉姆斯三世', '普路特·泰勒·文斯', '梅兰尼·蒂埃里', '加布里埃莱·拉维亚', '皮特·沃恩', '尼尔·奥布赖恩', '阿尔贝托·巴斯克斯', 'Julien Lovett', '希思科特·威廉姆斯', 'Adriano Wajskol', '布莱恩·普林格', '安吉洛·迪洛雷塔', 'Pierluigi Coppola', 'Stefano Pagin', 'Bernard Padden', 'Noriko Aida', 'Andrew Dunford', 'Eamon Geoghegan', '伊斯顿·盖奇', 'Harry Ditson', 'Katy Monique Cuom', '科里·巴克', 'Vernon Nurse', 'Norman Chancer', '西德尼·科尔', '费米·依鲁福祖', 'Leonid Zaslavski', 'Luigi De Luca', 'Femi Elufowojo', 'Nigel Fan', 'Roger Monk', '吉达·布塔', 'Gianluigi Molteni']"
千与千寻,千と千尋の神隠し,https://p0.meituan.net/movie/30b20139e68c46d02e0893277d633b701292458.jpg@464w_644h_1e_1c,"['动画', '冒险', '奇幻', '家庭']",['日本'],"['柊瑠美', '周冬雨', '入野自由', '井柏然', '夏木真理', '王琳', '中村彰男', '彭昱畅', '菅原文太', '田壮壮', '内藤刚志', '泽口靖子', '我修院达也', '神木隆之介', '玉井夕海', '大泉洋', '小林郁夫', '上条恒彦', '小野武彦', '安田显', '斋藤志郎', '黛维·切斯', '杰森·马斯登', '苏珊娜·普莱舍特', '鲍伯·伯根', '迈克·奇科利斯', '罗伦·荷莉', '塔拉·斯特朗', '苏珊·伊甘', '保罗·伊丁', '约翰·拉岑贝格', '戴维·奥格登·施蒂尔斯', '杰克·安杰尔', '雪莉·琳恩', '莫娜·马歇尔', '詹妮弗·达林', '米凯·麦高万', '科琳·欧肖内希', '菲尔·普洛克特', '吉姆·瓦德', 'Candi Milo', '罗杰·布帕斯', '户次重幸', '山像香', '脇田茂', '都筑香弥子', 'Noriko Kitou', 'Masayuki Kizu', 'Rina Yamada', 'Madalena Bobone', 'Rui Mendes', '山本道子', 'Akio Nakamura', '山本郁子', 'Filipa Maló Franco', 'João Melo', 'Fernanda Montemor']"
迁徙的鸟,The Travelling Birds,https://p1.meituan.net/movie/a1634f4e49c8517ae0a3e4adcac6b0dc43994.jpg@464w_644h_1e_1c,['纪录片'],"['法国', '德国', '意大利', '西班牙', '瑞士']","['雅克·贝汉', 'Philippe Labro']"
