May 2026,May 2025,Change,Programming Language,Ratings,Change
1,1,https://www.tiobe.com,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Python.png,Python,19.98%,-5.37%
2,3,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/up.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/C.png,C,11.55%,+1.84%
3,4,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/up.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Java.png,Java,7.94%,-1.37%
4,2,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/down.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/C__.png,C++,7.92%,-2.02%
5,5,https://www.tiobe.com,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/C_.png,C#,5.41%,+1.19%
6,6,https://www.tiobe.com,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/JavaScript.png,JavaScript,3.08%,-0.60%
7,8,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/up.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Visual_Basic.png,Visual Basic,2.90%,+0.28%
8,12,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/upup.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/R.png,R,1.77%,+0.31%
9,10,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/up.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/SQL.png,SQL,1.57%,-0.33%
10,9,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/down.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Delphi_Object_Pascal.png,Delphi/Object Pascal,1.44%,-0.85%
11,11,https://www.tiobe.com,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Fortran.png,Fortran,1.22%,-0.55%
12,14,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/up.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Scratch.png,Scratch,1.18%,-0.16%
13,16,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/up.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Perl.png,Perl,1.18%,-0.02%
14,15,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/up.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/PHP.png,PHP,1.15%,-0.07%
15,19,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/upup.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Rust.png,Rust,1.14%,+0.21%
16,7,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/downdown.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Go.png,Go,1.12%,-1.58%
17,18,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/up.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Assembly_language.png,Assembly language,1.02%,+0.05%
18,23,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/upup.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Swift.png,Swift,0.93%,+0.16%
19,13,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/downdown.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/Ada.png,Ada,0.92%,-0.50%
20,17,https://www.tiobe.com/wp-content/themes/tiobe/tpci/images/down.png,https://www.tiobe.com/wp-content/themes/tiobe/tiobe-index/images/MATLAB.png,MATLAB,0.89%,-0.13%
