May 2026,May 2025,Programming Language,Ratings,Change
1,1,Python,19.98%,-5.37%
2,3,C,11.55%,+1.84%
3,4,Java,7.94%,-1.37%
4,2,C++,7.92%,-2.02%
5,5,C#,5.41%,+1.19%
6,6,JavaScript,3.08%,-0.60%
7,8,Visual Basic,2.90%,+0.28%
8,12,R,1.77%,+0.31%
9,10,SQL,1.57%,-0.33%
10,9,Delphi/Object Pascal,1.44%,-0.85%
11,11,Fortran,1.22%,-0.55%
12,14,Scratch,1.18%,-0.16%
13,16,Perl,1.18%,-0.02%
14,15,PHP,1.15%,-0.07%
15,19,Rust,1.14%,+0.21%
16,7,Go,1.12%,-1.58%
17,18,Assembly language,1.02%,+0.05%
18,23,Swift,0.93%,+0.16%
19,13,Ada,0.92%,-0.50%
20,17,MATLAB,0.89%,-0.13%
21,,Classic Visual Basic,0.80%,
22,,PL/SQL,0.79%,
23,,Ruby,0.73%,
24,,Prolog,0.71%,
25,,COBOL,0.65%,
26,,Kotlin,0.65%,
27,,Objective-C,0.60%,
28,,SAS,0.60%,
29,,ML,0.58%,
30,,Dart,0.55%,
31,,Lua,0.51%,
32,,OCaml,0.46%,
33,,Julia,0.43%,
34,,Caml,0.41%,
35,,TypeScript,0.40%,
36,,Zig,0.39%,
37,,GML,0.38%,
38,,LabVIEW,0.37%,
39,,ABAP,0.36%,
40,,VBScript,0.35%,
41,,Lisp,0.33%,
42,,X++,0.32%,
43,,Clojure,0.32%,
44,,D,0.31%,
45,,Erlang,0.29%,
46,,Ladder Logic,0.28%,
47,,Haskell,0.26%,
48,,Scala,0.26%,
49,,Transact-SQL,0.26%,
50,,CFML,0.23%,
